,MVARIETY,FVARIETY,X.1,X,CROSS,DATE,FEMALE,MALE,F_POL,M_POL,CUBICLE,FUZZ,GERM,SEED,CROSSING.SERIES,AVGGERMF,SUMSEEDF,AVGGERMM,SUMSEEDM,AVGGERMX,SUMSEEDX,XN,FEFF,MEFF,XEFF,SUMGCA,SUM_SURVIVE,SUM_LINE1NO,SUM_LINE2NO,SUM_INCNO,SUM_ASSIGNNO,FFP,FMP,FSYPCT,FSCPCT,FCYPCT,FSWPCT,FPOPPCT,FFIBPCT,MFP,MMP,MSYPCT,MSCPCT,MCYPCT,MSWPCT,MPOPPCT,MFIBPCT,XSYPCT,XSCPCT,XCYPCT,XSWPCT,XPOPPCT,FRUST,FMOS,FLS,FSMUT,MRUST,MMOS,MLS,MSMUT,FBru1,MBru1,FLS1,MLS1
1,1965357,2001296,1753,1753,XL02-375,275,L01-296,CP65-357,6,3,9,4.811,19,182.818,2002,19,182.818,9,319.978,19,182.818,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,CP65-357,LCP85-384,134.5164708,104.7002208,128.6995762,132.314357,95.47934014,NA,CP52-068,CP53-017,72.97009798,95.45326129,75.75510732,119.3987369,62.38041832,105.5004559,103.7432844,100.0767411,102.2273417,125.856547,78.92987923,,,,,,,,,NA,NA,NA,NA
2,1965357,1965357,1857,1857,XL02-481,294,CP65-357,CP65-357,3,3,55,6.548,1,13.096,2002,79.80645161,34482.5,9,319.978,1,13.096,1,0.00154012,NA,NA,NA,NA,NA,NA,NA,NA,CP52-068,CP53-017,72.97009798,95.45326129,75.75510732,119.3987369,62.38041832,105.5004559,CP52-068,CP53-017,72.97009798,95.45326129,75.75510732,119.3987369,62.38041832,105.5004559,72.97009798,95.45326129,75.75510732,119.3987369,62.38041832,,,,,,,,,NA,NA,NA,NA
3,1965357,2000266,1751,1751,XL02-373,275,L00-266,CP65-357,6,3,9,3.877,16,124.064,2002,45.66666667,4124.748,9,319.978,16,124.064,1,0,NA,NA,NA,NA,NA,NA,NA,NA,HOCP89-846,L93-386,101.5544846,93.98227473,108.8069098,99.86540902,110.6482086,100.1724138,CP52-068,CP53-017,72.97009798,95.45326129,75.75510732,119.3987369,62.38041832,105.5004559,87.26229127,94.71776801,92.28100857,109.632073,86.51431344,,,,,,,,,NA,NA,NA,NA
4,1965357,2001292,1752,1752,XL02-374,275,L01-292,CP65-357,7,3,9,7.16,0,0,2002,2.5,73.45,9,319.978,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,CP65-357,LCP85-384,131.1481081,97.72721935,133.1442401,138.5253206,93.61212996,99.08680143,CP52-068,CP53-017,72.97009798,95.45326129,75.75510732,119.3987369,62.38041832,105.5004559,102.0591031,96.59024032,104.4496737,128.9620288,77.99627414,,,,,,,,,NA,NA,NA,NA
5,1970010,1979010,709,709,XL97-227,295,US79-010,US70-010,4,4,6,7.33,1,14.66,1997,52.75,40951.428,5.333333333,145.66,1,14.66,1,0.0002936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA
6,1970010,1992624,707,707,XL97-225,295,HOCP92-624,US70-010,5,4,6,5.16,8,82.56,1997,NA,374884.422,5.333333333,145.66,8,82.56,1,0.000606224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,R,MR,MR,,,,,-,NA,,NA
7,1970010,1985313,708,708,XL97-226,295,LCP85-313,US70-010,6,4,6,3.46,7,48.44,1997,77.875,23628.68,5.333333333,145.66,7,48.44,1,0.000699668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA
8,1970321,1992307,76,76,XL96-076,271,LHO92-307,CP70-321,3,3,13,5.84,59,689.12,1996,86.25,10923.16,48.85714286,8448.96,59,689.12,1,0.000828157,0.000342114,0,0.001170272,212,8,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,CP61-039,CP57-614,83.06257619,96.01692678,85.86747267,120.8579645,69.584535,95.81381472,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA
9,1970321,1985845,75,75,XL96-075,271,HOCP85-845,CP70-321,5,3,13,4.12,37,304.88,1996,55.79760274,173442.988,48.85714286,8448.96,37,304.88,1,0.000203821,0.000342114,NA,0.000545935,NA,NA,NA,NA,NA,CP72-370,CP77-403,84.24708062,93.47627944,89.53889071,112.4838721,79.05412534,104.2471877,CP61-039,CP57-614,83.06257619,96.01692678,85.86747267,120.8579645,69.584535,95.81381472,83.6548284,94.74660311,87.70318169,116.6709183,74.31933017,MR,R,S,R,,,,,NA,NA,NA,NA
10,1970321,1970321,384,384,XL96-388,292,CP70-321,CP70-321,3,3,30,6.03,3,36.18,1996,8.736842105,2351.632,48.85714286,8448.96,3.666666667,128.82,3,0.00118624,0.000342114,NA,0.001528354,NA,NA,NA,NA,NA,CP61-039,CP57-614,83.06257619,96.01692678,85.86747267,120.8579645,69.584535,95.81381472,CP61-039,CP57-614,83.06257619,96.01692678,85.86747267,120.8579645,69.584535,95.81381472,83.06257619,96.01692678,85.86747267,120.8579645,69.584535,,,,,,,,,NA,NA,NA,NA
