# heliumInput = PEDIGREE
"LineName"	"MaleParent"	"FemaleParent"
"25C14"	"H109"	"YellowCaledonia"
"26C270"	"H109"	"YellowCaledonia"
"B(30)L7"	"B0391"	"POJ2364"
"B2935"	"Ba06032"	"Ba11569"
"B33053"	"B(30)L7"	"B(30)L7"
"B3337"	"B(30)L7"	"B(30)L7"
"B34104"	"BH(10)12"	"Co281"
"B3439"	"MB"	"Ba11569"
"B35247"	"SC124"	"Toledo"
"B35271"	"BH(10)12"	"Uba"
"B37256"	"Saccharumspontaneum"	"Ba11569"
"B39254"	"B2935"	"B35271"
"B40098"	"Co290"	"B34039"
"B40123"	"B35251"	"B30013"
"B45151"	"B34104"	"B39254"
"B45154"	"POJ2878"	"B39254"
"B45181"	"B33053"	"B37256"
"B46364"	"B3337"	"B35247"
"B47258"	"B34104"	"B39254"
"B4906"	"B40123"	"B34039"
"B49119"	"B40098"	"B35218"
"B59162"	"B46364"	"B45154"
"B62163"	"B45151"	"B34039"
"B70734"	"SES8458"	"Badila"
"B71941"	"SES21"	"Crystalina"
"B74725"	"SES567"	"BTN166A"
"B76719"	"SES602"	"BTN529"
"BH(10)12"	"B4578"	"B6835"
"BJ7504"	"BPoly197374"	"B4906"
"Bourne359"	"CP27035"	"POJ2725"
"CB41076"	"UNKNOWN"	"POJ2878"
"CB45003"	"Co331"	"Co290"
"CC8479"	"CCPoly198283"	"NA5679"
"CC8592"	"CCPoly198384"	"Co775"
"CL41114"	"Co301"	"CP29103"
"CL41142"	"Bourne359"	"CP27108"
"CL41223"	"F31452"	"F31436"
"CL47143"	"CL41142"	"CL41114"
"CL49032"	"FX1"	"CL41142"
"CL54134"	"CP38034"	"CL49032"
"CL541910"	"CL47083"	"CL47143"
"CL61005"	"CL541910"	"CP52068"
"CL61620"	"CL541910"	"CP48120"
"CL65279"	"CL541910"	"CP52068"
"Co1148"	"Co301"	"P4383"
"Co205"	"IndianS.spontaneum"	"Vellai"
"Co206"	"IndianS.spontaneum"	"AshyMauritius"
"Co213"	"Kansar"	"POJ0213"
"Co214"	"M4600"	"StripedMauritius"
"Co221"	"M2"	"POJ0213"
"Co244"	"Co205"	"POJ0213"
"Co281"	"Co206"	"POJ0213"
"Co285"	"IndianS.spontaneum"	"GreenSport"
"Co290"	"D74"	"Co221"
"Co299"	"POJ1410"	"Co213"
"Co301"	"POJ1499"	"Co213"
"Co312"	"Co244"	"Co213"
"Co331"	"Co214"	"Co213"
"Co361"	"B3412"	"POJ2725"
"Co371"	"Co214"	"Co213"
"Co419"	"Co312"	"POJ2878"
"Co421"	"Co285"	"POJ2878"
"Co449"	"Co331"	"POJ2878"
"Co464"	"Co285"	"Co361"
"Co603"	"Co419"	"P3247"
"Co6806"	"Co798"	"Co775"
"Co683"	"B3412"	"POJ2878"
"Co740"	"P4775"	"P3248"
"Co775"	"Co371"	"POJ2878"
"Co798"	"Co449"	"Co603"
"Co997"	"P6332"	"Co683"
"CP001101"	"CP892143"	"CP892143"
"CP27022"	"US0785"	"D74"
"CP27034"	"US1694"	"D74"
"CP27035"	"US1694"	"D74"
"CP27046"	"CP0726"	"POJ2364"
"CP27064"	"CP0726"	"POJ2364"
"CP27108"	"CP0726"	"POJ2364"
"CP27139"	"US1694"	"POJ2725"
"CP27156"	"US1639"	"CP0040"
"CP28009"	"US1694"	"Co281"
"CP28044"	"CP27038"	"Co281"
"CP28116"	"CP27038"	"CP27028"
"CP29082"	"CP27046"	"CP27064"
"CP29103"	"CP1165"	"POJ2725"
"CP29116"	"CP1165"	"POJ2725"
"CP29138"	"CP1165"	"POJ2725"
"CP29307"	"POJ2878"	"Co281"
"CP29320"	"CP27034"	"Co281"
"CP30024"	"CP1165"	"CP27022"
"CP31432"	"POJ2878"	"CP29307"
"CP31518"	"28NG251"	"D74"
"CP33030"	"CP29138"	"CP28116"
"CP33224"	"CP31432"	"CP27139"
"CP33229"	"CP31432"	"CP27139"
"CP33372"	"CP28044"	"CP1165"
"CP34079"	"CP1161"	"CP33030"
"CP34120"	"POJ2878"	"Co281"
"CP36010"	"FolgerSorghum"	"P0J2725"
"CP36013"	"HoneySorgo"	"POJ2725"
"CP36046"	"CP29082"	"CP28009"
"CP36105"	"CP1165"	"Co281"
"CP36138"	"28NG251"	"Crystalina"
"CP36183"	"CP1165"	"P0J2725"
"CP36211"	"HoneySorgo"	"P0J2725"
"CP38034"	"CP27156"	"Co421"
"CP38105"	"CP36211"	"CP34120"
"CP43047"	"CP1165"	"Co281"
"CP43064"	"CP27108"	"CP36138"
"CP43074"	"CP1165"	"Co281"
"CP44101"	"CP1165"	"Co281"
"CP44126"	"CP33224"	"CP33229"
"CP44154"	"US1694"	"Co281"
"CP44155"	"CP33224"	"CP33229"
"CP46115"	"CP36211"	"CP34120"
"CP46126"	"CP36211"	"CP34120"
"CP47193"	"CP36211"	"CP34120"
"CP48096"	"CP1165"	"P0J2725"
"CP48103"	"Co290"	"CP29320"
"CP48117"	"CP38034"	"CP36105"
"CP48120"	"CP38034"	"CP36105"
"CP48126"	"CP38034"	"CP36105"
"CP50011"	"CP27034"	"CP34079"
"CP50023"	"CP43074"	"CP29103"
"CP50027"	"CP36138"	"CP43049"
"CP50028"	"CP33372"	"CP43064"
"CP50038"	"CP43074"	"P3337"
"CP50040"	"CP36105"	"F36819"
"CP50041"	"CP1165"	"Co290"
"CP50052"	"CP36105"	"F36819"
"CP51021"	"CP33372"	"F36819"
"CP51024"	"CP43074"	"F36819"
"CP52001"	"CP33229"	"CP29103"
"CP52003"	"CO285"	"CP36013"
