# heliumInput = PEDIGREE
"LineName"	"MaleParent"	"FemaleParent"
"25C14"	"H109"	"YELLOWCALEDONIA"
"26C270"	"H109"	"YELLOWCALEDONIA"
"28NG251"	NA	NA
"73P2"	NA	NA
"ASHYMAURITIUS"	NA	NA
"B(30)L7"	"B0391"	"POJ2364"
"B0208"	NA	NA
"B0391"	NA	"BA11569"
"B1379"	NA	NA
"B16356"	NA	"B0208"
"B2935"	"BA06032"	"BA11569"
"B30013"	NA	"BA11569"
"B33053"	"B(30)L7"	"B(30)L7"
"B3337"	"B(30)L7"	"B(30)L7"
"B34039"	NA	"BA11569"
"B34104"	"BH(10)12"	"CO281"
"B3412"	NA	"D74"
"B3439"	"MB"	"BA11569"
"B35218"	NA	NA
"B35247"	"SC124"	"TOLEDO"
"B35251"	NA	NA
"B35271"	"BH(10)12"	"UBA"
"B37256"	"SACCHARUMSPONTANEUM"	"BA11569"
"B39254"	"B2935"	"B35271"
"B40098"	"CO290"	"B34039"
"B40123"	"B35251"	"B30013"
"B45151"	"B34104"	"B39254"
"B45154"	"POJ2878"	"B39254"
"B45181"	"B33053"	"B37256"
"B4578"	NA	NA
"B46364"	"B3337"	"B35247"
"B47258"	"B34104"	"B39254"
"B4906"	"B40123"	"B34039"
"B49119"	"B40098"	"B35218"
"B59162"	"B46364"	"B45154"
"B62163"	"B45151"	"B34039"
"B6308"	NA	NA
"B6835"	NA	"B1379"
"B70734"	"SES8458"	"BADILA"
"B71941"	"SES21"	"CRYSTALINA"
"B74725"	"SES567"	"BTN166A"
"B76719"	"SES602"	"BTN529"
"BA06032"	NA	"T24"
"BA11569"	NA	"B16356"
"BADILA"	NA	NA
"BANJERMASINHITAM"	NA	NA
"BATJAN"	NA	NA
"BENDASSEL"	NA	NA
"BH(10)12"	"B4578"	"B6835"
"BJ7504"	"BPOLY197374"	"B4906"
"BLACKCHERIBON"	NA	NA
"BOURNE359"	"CP27035"	"POJ2725"
"BPOLY197374"	NA	NA
"CB41076"	"UNKNOWN"	"POJ2878"
"CB45003"	"CO331"	"CO290"
"CC8215"	NA	NA
"CC8479"	"CCPOLY198283"	"NA5679"
"CC8592"	"CCPOLY198384"	"CO775"
"CCPOLY198283"	NA	NA
"CCPOLY198384"	NA	NA
"CHUNNEE"	NA	NA
"CL41106"	NA	NA
"CL41114"	"CO301"	"CP29103"
"CL41142"	"BOURNE359"	"CP27108"
"CL41223"	"F31452"	"F31436"
"CL47083"	NA	"CL41223"
"CL47143"	"CL41142"	"CL41114"
"CL49032"	"FX1"	"CL41142"
"CL54134"	"CP38034"	"CL49032"
"CL541910"	"CL47083"	"CL47143"
"CL61005"	"CL541910"	"CP52068"
"CL61620"	"CL541910"	"CP48120"
"CL65279"	"CL541910"	"CP52068"
"CO1148"	"CO301"	"P4383"
"CO205"	"INDIANS.SPONTANEUM"	"VELLAI"
"CO206"	"INDIANS.SPONTANEUM"	"ASHYMAURITIUS"
"CO213"	"KANSAR"	"POJ0213"
"CO214"	"M4600"	"STRIPEDMAURITIUS"
"CO221"	"M2"	"POJ0213"
"CO244"	"CO205"	"POJ0213"
"CO281"	"CO206"	"POJ0213"
"CO285"	"INDIANS.SPONTANEUM"	"GREENSPORT"
"CO290"	"D74"	"CO221"
"CO299"	"POJ1410"	"CO213"
"CO301"	"POJ1499"	"CO213"
"CO312"	"CO244"	"CO213"
"CO331"	"CO214"	"CO213"
"CO360"	NA	"POJ2725"
"CO361"	"B3412"	"POJ2725"
"CO371"	"CO214"	"CO213"
"CO419"	"CO312"	"POJ2878"
"CO421"	"CO285"	"POJ2878"
"CO440"	NA	"CO360"
"CO449"	"CO331"	"POJ2878"
"CO464"	"CO285"	"CO361"
"CO603"	"CO419"	"P3247"
"CO6806"	"CO798"	"CO775"
"CO683"	"B3412"	"POJ2878"
"CO740"	"P4775"	"P3248"
"CO775"	"CO371"	"POJ2878"
"CO798"	"CO449"	"CO603"
"CO997"	"P6332"	"CO683"
"CP001101"	"CP892143"	"CP892143"
"CP0040"	NA	"OKINAWATEKCHA"
"CP0670"	NA	"US1484"
"CP0726"	NA	"POJ0213"
"CP1"	NA	NA
"CP1165"	NA	"CP0670"
"CP27022"	"US0785"	"D74"
"CP27028"	NA	NA
"CP27034"	"US1694"	"D74"
"CP27035"	"US1694"	"D74"
"CP27038"	NA	NA
"CP27046"	"CP0726"	"POJ2364"
"CP27064"	"CP0726"	"POJ2364"
"CP27108"	"CP0726"	"POJ2364"
"CP27139"	"US1694"	"POJ2725"
"CP27156"	"US1639"	"CP0040"
"CP28009"	"US1694"	"CO281"
"CP28044"	"CP27038"	"CO281"
"CP28116"	"CP27038"	"CP27028"
"CP29082"	"CP27046"	"CP27064"
"CP29103"	"CP1165"	"POJ2725"
"CP29116"	"CP1165"	"POJ2725"
"CP29138"	"CP1165"	"POJ2725"
"CP29307"	"POJ2878"	"CO281"
"CP29320"	"CP27034"	"CO281"
"CP30024"	"CP1165"	"CP27022"
"CP31432"	"POJ2878"	"CP29307"
"CP31518"	"28NG251"	"D74"
"CP33030"	"CP29138"	"CP28116"
"CP33224"	"CP31432"	"CP27139"
"CP33229"	"CP31432"	"CP27139"
"CP33372"	"CP28044"	"CP1165"
"CP34079"	"CP1161"	"CP33030"
"CP34120"	"POJ2878"	"CO281"
"CP36010"	"FOLGERSORGHUM"	"P0J2725"
"CP36013"	"HONEYSORGO"	"POJ2725"
"CP36046"	"CP29082"	"CP28009"
"CP36105"	"CP1165"	"CO281"
"CP36138"	"28NG251"	"CRYSTALINA"
"CP36183"	"CP1165"	"P0J2725"
