# heliumInput = PEDIGREE
LineName	FemaleParent	MaleParent
1952068	NA	NA
1953017	NA	NA
1957614	NA	NA
1961037	NA	NA
1961039	NA	NA
1965069	NA	NA
1969380	NA	NA
19701133	NA	NA
1970330	NA	NA
1971321	NA	NA
1972019	NA	NA
19721210	NA	NA
19722086	NA	NA
1972355	NA	NA
1974339	NA	NA
1975020	NA	NA
1976331	NA	NA
1977010	NA	NA
1977310	NA	NA
1977403	NA	NA
1977405	NA	NA
1977407	NA	NA
1978020	NA	NA
1978317	NA	NA
1978357	NA	NA
1979010	NA	NA
1979348	NA	NA
1980004	NA	NA
1981010	NA	NA
1981030	NA	NA
19811254	NA	NA
198130	NA	NA
1982094	NA	NA
19821592	NA	NA
19822043	NA	NA
1982550	NA	NA
1983137	NA	NA
1983606	NA	NA
1983632	NA	NA
1983644	NA	NA
1983657	NA	NA
19841198	NA	NA
198468	NA	NA
1984722	NA	NA
1984772	NA	NA
1985294	NA	NA
1985313	NA	NA
1985336	NA	NA
1985358	NA	NA
1985830	NA	NA
1985834	NA	NA
19861206	NA	NA
19863374	NA	NA
1986422	NA	NA
1986429	NA	NA
1986901	NA	NA
1986916	NA	NA
1986941	NA	NA
19873388	NA	NA
1987492	NA	NA
1987626	NA	NA
1987644	NA	NA
1988063	NA	NA
198807	NA	NA
19882032	NA	NA
1988702	NA	NA
1988729	NA	NA
1988739	NA	NA
1988757	NA	NA
1988764	NA	NA
198878	NA	NA
1989012	NA	NA
1989028	NA	NA
1989113	NA	NA
1989163	NA	NA
19892377	NA	NA
19895189	NA	NA
1989821	NA	NA
1989825	NA	NA
1989831	NA	NA
1989837	NA	NA
1989843	NA	NA
1989845	NA	NA
1989846	NA	NA
1989879	NA	NA
1989884	NA	NA
1989888	NA	NA
1989889	NA	NA
1990017	NA	NA
1990020	NA	NA
1990024	NA	NA
19901436	NA	NA
199018	NA	NA
199020	NA	NA
1990923	NA	NA
1990941	NA	NA
1990951	NA	NA
1990956	NA	NA
1990957	NA	NA
1990963	NA	NA
1990977	NA	NA
1991250	NA	NA
1991255	NA	NA
1991281	NA	NA
1991286	NA	NA
1991516	NA	NA
1991523	NA	NA
1991534	NA	NA
1991542	NA	NA
1991547	NA	NA
1991552	NA	NA
1991557	NA	NA
1991558	NA	NA
1991559	NA	NA
1991572	NA	NA
19921320	NA	NA
1992307	NA	NA
1992312	NA	NA
1992314	NA	NA
1992321	NA	NA
1992355	NA	NA
1992614	NA	NA
1992618	NA	NA
1992624	NA	NA
1992631	NA	NA
1992648	NA	NA
1992654	NA	NA
1992672	NA	NA
1992674	NA	NA
1992675	NA	NA
1992676	NA	NA
1992678	NA	NA
1993016	NA	NA
1993017	NA	NA
199316	NA	NA
199317	NA	NA
19931858	NA	NA
1993363	NA	NA
1993365	NA	NA
1993378	NA	NA
1993386	NA	NA
1993391	NA	NA
1993393	NA	NA
1993399	NA	NA
1993631	NA	NA
1993707	NA	NA
1993721	NA	NA
1993744	NA	NA
1993746	NA	NA
1993749	NA	NA
1993750	NA	NA
1993754	NA	NA
1993767	NA	NA
1993769	NA	NA
1993770	NA	NA
1993771	NA	NA
1993775	NA	NA
1993776	NA	NA
1994001	NA	NA
19941200	NA	NA
19942203	NA	NA
1994424	NA	NA
1994426	NA	NA
1994431	NA	NA
1994432	NA	NA
1994433	NA	NA
1994806	NA	NA
1994808	NA	NA
1994814	NA	NA
1994817	NA	NA
1994822	NA	NA
1994828	NA	NA
1994836	NA	NA
1994839	NA	NA
1994848	NA	NA
1994850	NA	NA
1994851	NA	NA
1994856	NA	NA
1994861	NA	NA
1994864	NA	NA
1994865	NA	NA
199502	NA	NA
199525	NA	NA
1995461	NA	NA
1995477	NA	NA
1995482	NA	NA
1995483	NA	NA
1995906	NA	NA
