#heliumInput = PHENOTYPE
LineName	Phenotype1=trs	Phenotype2=tca
1965357	252.7832463	27.1001618
1970321	254.2732007	30.71790368
1972370	257.5545468	32.0462948
1974383	237.5547945	30.0996873
1977042	234.412621	37.10497305
1979318	259.6290323	29.70651386
1982089	256.4446449	29.55206535
1983153	247.6511573	29.91734863
1985384	256.3222574	35.91434403
1985845	247.5434459	32.03228812
1986454	250.8606357	27.35073892
1990018	264.9266667	31.60280521
1991555	267.4463753	32.17317704
1994428	274.6950898	36.40847892
1995462	255.8547167	41.24954363
1995988	262.3974006	34.99784844
1996092	252.7004286	42.36138197
1996509	255.1085333	42.52144985
1996540	256.9295095	33.47285253
1996561	270.7273333	40.40477508
1997128	266.1072419	34.82990068
1997137	242.6609773	48.1784835
1997606	253.5997674	44.53187195
1997609	261.6205063	39.10594472
1998207	256.4801589	46.66128901
1998209	261.2316127	41.1540252
1998718	256.6895494	50.90637864
1998734	245.3763855	49.28154597
1998741	250.4694606	59.36328903
1998771	251.9927741	51.6262554
1998776	264.1142044	49.40931295
1998778	275.9499336	47.92308642
1998781	254.6226406	49.33002193
1999213	255.6398873	45.94025927
1999214	257.1103939	45.82218702
1999215	235.2714007	47.8310226
1999221	237.2975769	49.56992067
1999225	249.0443341	42.15310964
1999226	278.7251053	35.69857972
1999227	249.5127466	42.83193966
1999229	236.5492684	49.76952909
1999230	233.2564164	47.59800577
1999231	261.2506027	42.64134234
1999233	262.5490958	33.45952603
1999234	255.1002832	45.08812548
1999236	259.5886386	40.06898462
1999238	242.4901911	48.24016635
1999240	253.3149297	46.82102332
1999243	256.8399109	45.9812149
1999800	225.14	51.43001016
1999804	258.7667098	48.82887969
1999805	221.5142857	50.61095089
1999806	239.84125	55.04129297
1999808	261.3374987	46.28569688
1999809	274.29	53.751225
1999813	262.775	35.26582813
1999814	261.4766667	35.63563438
1999815	266.3654294	46.48545
1999817	252.355	44.45161875
1999821	243.59	42.99423047
1999822	233.09	41.88452813
1999825	258.6596664	49.36913438
1999829	256.52875	46.42032656
1999832	252.1566667	36.53334514
1999833	265.51875	46.58566172
1999837	260.2016667	33.85806875
1999838	262.42	48.14542734
1999839	248.2557143	53.01226071
1999854	247.51625	37.39835859
1999855	232.36375	46.89874922
1999857	224.24125	52.34630156
1999859	256.46875	49.16948438
1999861	249.1175	49.03364297
1999862	263.1075	43.77694922
1999866	245.1613544	52.44885622
1999870	243.1832112	48.27466875
2000246	247.4886049	43.62976406
2000247	213.8856623	46.90773621
2000248	230.001656	41.39674688
2000249	260.0068439	39.69736587
2000250	220.0510173	47.47179039
2000251	269.9681657	39.10814531
2000252	244.3099874	37.57012188
2000253	263.0144948	38.54417188
2000254	266.9581849	46.20214844
2000255	253.5059491	44.46514399
2000256	250.8434614	42.61015
2000257	266.7538851	40.4516089
2000258	255.4565624	34.35057656
2000259	231.0420947	49.73335601
2000260	282.3532195	46.34942813
2000261	270.5467298	42.01989688
2000262	249.135652	40.71725625
2000263	233.9665046	42.77989904
2000264	218.5038826	57.25478582
2000265	232.1844027	38.444725
2000266	248.8614488	38.92109296
2000267	237.7303333	45.43209688
2000268	238.7310374	51.80769159
2000269	234.2624874	44.26236719
2000270	234.5792178	50.54268894
2000271	255.0356649	40.63767548
2000272	252.141617	39.67060625
2000273	235.4802162	49.75531635
2000274	261.5294378	41.06532031
2000275	247.056442	46.22861719
2000276	276.4052671	36.09354375
2000277	238.7535668	44.53386094
2000278	253.6821508	45.92460469
2000900	275.5	57.56953125
2000901	263	55.23045
2000902	232	65.83005
2000903	256	61.483125
2000904	238	64.405275
2000905	238.0132776	51.29963438
2000906	243	51.21249375
2000907	242.5	61.73495625
2000908	272	49.06171875
2000909	262.8125	47.30882578
2000910	246	48.52629375
2000911	256	42.697875
2000912	223.425	49.32120703
2000913	260	44.96435625
2000914	259.825	45.87299063
2000915	232	73.952175
2000916	248	50.7973125
2000917	236.2625	50.75051953
2000918	242	49.7355375
2000919	271	53.279325
2000920	247.7875	50.99072344
2000921	252.8375	45.36819375
2000922	239	49.92951563
2000923	221.6625	49.485975
2000924	265	53.44040625
2000925	260.5875	35.97556875
2000926	251	44.68303125
2000927	244.5360052	47.2619866
2000928	266.0875	50.64133594
2000929	264	43.786875
2000930	255.9787648	45.71817785
2000931	238.4125	48.19084286
2000932	260.375	54.92416875
2000933	218.8272719	54.3803425
2000934	230.446618	49.38678938
2000935	226.2625	52.34545078
2000936	242.825	41.98236797
2000937	274.0875	50.71989141
2000938	249.7375	47.15058047
2000939	240.1913739	53.46935262
2000940	264.0875	47.71011094
2000941	235.225	56.04549844
2000942	254.3639889	48.61940875
2000943	253.85	41.68090781
2000944	253	58.97048438
2000945	236.4159806	46.30661063
2000946	237	64.0014375
2000947	269.8625	41.43985313
2000948	259.35	49.20862031
2000949	251.5	46.25328984
2000950	299.3478421	28.68745994
2000951	236.3710902	46.06987
2000952	259.5	64.2010875
2000953	262.4875	49.91391797
2000954	254.5	50.58405
2000955	237	64.7955
2000956	253.5	50.302725
2000957	246.375	47.36781328
2000958	264.5	60.90799688
2000959	258.5	46.80658125
2000960	210.678489	54.6702137
2000961	212.2666667	54.69237813
2001040	199.2933333	49.04861042
2001279	206.9767392	48.33846016
2001280	252.3744418	45.09934688
2001281	228.420262	53.80892057
2001282	224.3336526	44.1229336
2001283	277.325843	33.16924998
2001284	216.3731164	52.98665625
2001285	232.0077851	45.50753281
2001286	223.6193559	54.5180625
2001287	225.4344332	48.60645625
2001288	228.813739	50.40169922
2001289	209.5940082	55.2292211
2001290	219.3083341	48.5461625
2001291	272.5400475	40.28411406
2001292	258.7758498	47.62837544
2001293	234.0627746	48.856775
2001294	198.9854757	44.09514141
2001295	233.324184	42.61727766
2001296	277.1799691	46.0335425
2001297	244.0941535	49.61491563
2001298	219.0933216	50.21915938
2001299	264.833959	35.64743868
2001300	218.3785486	53.30793646
2001301	242.1905791	47.97120625
2001302	250.0327501	46.32021797
2001303	216.7478886	47.54080547
2001304	230.5241136	52.85771563
2001305	225.8836832	47.33113516
2001306	230.4938253	44.51117344
2001307	262.3052745	45.90966875
2001308	212.1737647	50.85686719
2001309	239.5540254	48.26935781
2001310	227.6427521	45.05907656
2001311	223.0089359	48.33335547
2001312	238.9794777	46.30950443
2001313	241.2439083	45.67523125
2001314	235.2635448	50.09797031
2001315	222.7787981	47.31739662
2001500	249.7655556	46.80078333
2001501	238.5	76.72572188
2001502	274	53.31789375
2001503	242.5	63.17788125
2001504	244.5	57.40845
2001505	261	50.37305625
2001506	227.3044444	47.00270208
2001507	218.36	42.77576875
2001508	274	49.51093125
2001509	258	50.29024688
2001510	223.4422222	42.06993542
2001511	237.5	58.9375875
2001512	228.5	49.39409063
2001513	232	47.54619375
2001514	226.5	51.54373125
2001515	235	56.5508625
2001516	259.5	65.63266875
2001517	276.2740541	46.46496882
2001518	235.5	53.93045625
2001519	250.5	43.6189875
2001520	227.5095652	47.68292375
2001521	228	58.4067
2001522	232	58.1208375
2001523	267.4366216	39.58555232
2001524	223.5	47.5893
2001525	251.5275	43.90768594
2001526	236.8488889	48.37932917
2001527	207.6228571	46.68568929
2001528	240.2733333	47.44208333
2001529	247.1630435	47.34541924
2001530	231.5	49.55176875
2001531	266.0855556	44.52749583
2001532	268.9344444	41.20831458
2001533	243.9588889	44.50858958
2001534	286.9813043	39.52746457
2001535	253.1388889	45.96185
2001536	226	60.42135
2001537	229.5	54.67460625
2001538	196	55.81125
2001539	270	55.22364375
2001541	255.4821739	47.5920225
2001542	224.5	77.37685313
2001543	249.1044444	43.43799167
2001544	258.5826087	47.18391054
2001545	243.7633333	38.214825
2001546	246.5	49.32149063
2001547	241.5	58.53375
2001548	249.5	44.85885938
2001549	234	55.8883875
2001550	275.5	53.82722813
2001551	270.062973	42.36659662
2001552	243	56.62119375
2001553	249.3495455	50.45975
2001554	223.5	61.57274063
2001556	263	56.564475
2001557	207	61.25625
2001558	254.7069565	46.02225136
2001559	239	55.3212
2001560	249.5	57.36874688
2001561	270.2236111	43.8422199
2001562	216	62.58346875
2001563	206	50.230125
2001564	278.7013514	37.43916093
2001565	244.5	58.38855
2001566	262	55.70235
2001567	256	52.61685
2002095	250	35.33615938
2002096	196.8333333	33.22622188
2002097	234.1666667	18.0411
2002098	238.7938889	29.75289167
2002099	226.8333333	28.24820625
2002316	251.448491	41.30377625
2002317	197.6192653	40.20054844
2002319	228.1060578	46.51655938
2002320	220.7438559	47.97295508
2002322	238.8407493	43.25414414
2002323	243.8825326	43.82449844
2002324	240.8739188	42.82084125
2002325	244.9209082	42.52086094
2002326	232.1018665	41.40293867
2002327	212.4182629	45.30948985
2002328	242.9461415	56.50775625
2002329	197.4137247	56.55766875
2002332	201.7328762	50.49613594
2002333	227.9313128	46.36639649
2002334	218.3839956	51.04498438
2002335	231.2635009	41.8644875
2002336	242.9153063	48.14006007
2002337	211.6472924	42.03965391
2002338	222.5183212	50.72244375
2002339	205.7714867	41.58675469
2002340	234.6059673	44.222475
2002341	235.2042014	42.22076528
2002342	243.5725693	44.54821489
2002343	253.304856	42.16043333
2002344	214.3210884	46.842125
2002345	271.4007268	44.34555469
2002346	227.9169296	43.24464375
2002347	218.0020442	42.85905078
2002348	223.6432985	48.82595781
2002349	228.304395	45.51622969
2002350	217.5693497	51.11399219
2002351	246.5394117	46.08852188
2002352	197.6512196	45.2978625
2002353	237.6570219	51.15115347
2002354	203.7874501	45.58922882
2002355	207.4066414	44.40794532
2002358	202.8467409	42.86746406
2002359	225.2638587	51.85341563
2002360	187.7656547	51.82619063
2002361	235.990171	43.88726719
2002600	279.0243792	39.4789725
2002601	246.5184405	42.839445
2002602	246.5	53.37688125
2002603	260.3852407	37.7329425
2002604	281.5	44.08635
2002605	236.5	48.887025
2002606	264.5	44.07500625
2002607	237	50.683875
2002608	238.5	52.78246875
2002609	257.5	50.89373438
2002610	249.2505564	46.40041898
2002611	255.5	48.34479375
2002612	251.4199237	43.53185742
2002613	231.5	60.89325
2002614	236.5	50.47515
2002615	265.2761613	43.35263625
2002616	278.5	42.82152188
2002617	261	41.10180938
2002618	259.9462629	39.26883583
2002619	245.5	71.193375
2002620	255.8567834	41.20463417
2002621	275.2004288	35.35257
2002622	247.5117193	40.84988233
2002623	266.215043	38.67058625
2002624	238.4241459	45.6064125
2002625	250.5711214	41.28734775
2002626	272.3878525	51.34272
2002627	260	45.375
2002628	260	49.10142188
2002629	268.7797623	39.12459375
2002630	258.5	51.9589125
2002631	269.9202783	44.98659
2002632	263.3553905	40.03362642
2002633	248.5	43.18565625
2002634	244.2020088	41.41247183
2002635	250.5	40.52781563
2002636	234.1516377	43.65984517
2002637	247.0833633	43.3576275
2002638	274.5	49.322625
2002639	259.5921747	38.58300783
2002640	269.976172	43.89176183
2002641	255.5	46.473075
