PREFIX,VARIETY,AVARIETY,BAY,CART,CAN
L,2001-299,L01-299,1,A,1
L,2001-315,L01-315,1,A,2
HOCP,2004-847,HOCP04-847,1,A,3
L,2006-001,L06-001,1,A,4
L,2007-057,L07-057,1,A,5
HOCP,2009-804,HOCP09-804,1,A,6
HO,2009-840,HO09-840,1,A,7
L,2010-147,L10-147,1,A,8
HO,2011-532,HO11-532,1,A,9
L,2012-202,L12-202,1,A,10
L,2012-227,L12-227,1,A,11
L,2014-276,L14-276,1,A,12
L,2015-298,L15-298,1,A,13
L,2015-306,L15-306,1,A,14
HO,2016-608,HO16-608,1,A,15
L,2020-055,L20-055,1,A,16
L,2021-075,L21-075,1,A,17
L,1999-233,L99-233,1,A,18
L,2007-057,L07-057,1,B,1
L,2014-276,L14-276,1,B,2
L,2005-457,L05-457,1,B,3
L,2008-090,L08-090,1,B,4
L,2009-099,L09-099,1,B,5
L,2009-112,L09-112,1,B,6
HO,2009-827,HO09-827,1,B,7
L,2011-183,L11-183,1,B,8
L,2011-187,L11-187,1,B,9
HO,2012-615,HO12-615,1,B,10
HO,2013-705,HO13-705,1,B,11
HOCP,2014-885,HOCP14-885,1,B,12
L,2015-320,L15-320,1,B,13
HO,2015-964,HO15-964,1,B,14
L,2019-486,L19-486,1,B,15
LCP,1985-384,LCP85-384,1,B,16
HOCP,1992-618,HOCP92-618,1,B,17
HOCP,1992-624,HOCP92-624,1,B,18
L,2006-001,L06-001,1,C,1
L,2021-075,L21-075,1,C,2
N,64,N64,1,C,3
HO,2009-9402,HO09-9402,1,C,4
HOCP,2004-838,HOCP04-838,1,C,5
L,2005-448,L05-448,1,C,6
L,2006-040,L06-040,1,C,7
HO,2006-563,HO06-563,1,C,8
L,2009-123,L09-123,1,C,9
HO,2011-573,HO11-573,1,C,10
L,2012-201,L12-201,1,C,11
L,2014-265,L14-265,1,C,12
HO,2017-738,HO17-738,1,C,13
L,2019-021,L19-021,1,C,14
L,2020-037,L20-037,1,C,15
L,2020-065,L20-065,1,C,16
HOCP,1996-540,HOCP96-540,1,C,17
L,1999-226,L99-226,1,C,18
L,2006-001,L06-001,2,A,1
L,2012-201,L12-201,2,A,2
L,2019-021,L19-021,2,A,3
HOCP,1996-540,HOCP96-540,2,A,4
L,1999-226,L99-226,2,A,5
L,2007-057,L07-057,2,A,6
L,2011-187,L11-187,2,A,7
HOCP,2014-885,HOCP14-885,2,A,8
HO,2015-964,HO15-964,2,A,9
L,2001-299,L01-299,2,A,10
HO,2009-840,HO09-840,2,A,11
L,2010-147,L10-147,2,A,12
HO,2008-717,HO08-717,2,A,13
L,2014-269,L14-269,2,A,14
L,2014-267,L14-267,2,A,15
L,2015-337,L15-337,2,A,16
LCP,1986-454,LCP86-454,2,A,17
HOCP,1996-561,HOCP96-561,2,A,18
HOCP,2014-885,HOCP14-885,2,B,1
HO,2009-9402,HO09-9402,2,B,2
L,2014-267,L14-267,2,B,3
L,2020-065,L20-065,2,B,4
L,2005-457,L05-457,2,B,5
L,2009-099,L09-099,2,B,6
HO,2012-615,HO12-615,2,B,7
HO,2013-705,HO13-705,2,B,8
HOCP,1992-618,HOCP92-618,2,B,9
HOCP,2009-804,HOCP09-804,2,B,10
L,2012-202,L12-202,2,B,11
L,1999-233,L99-233,2,B,12
HO,2009-832,HO09-832,2,B,13
HO,2013-739,HO13-739,2,B,14
L,2014-275,L14-275,2,B,15
HO,2017-776,HO17-776,2,B,16
HOCP,2018-801,HOCP18-801,2,B,17
CP,1983-644,CP83-644,2,B,18
HOCP,2009-804,HOCP09-804,2,C,1
L,1999-233,L99-233,2,C,2
L,1999-226,L99-226,2,C,3
L,2014-269,L14-269,2,C,4
L,2008-090,L08-090,2,C,5
L,2009-112,L09-112,2,C,6
L,2011-183,L11-183,2,C,7
L,2015-320,L15-320,2,C,8
HOCP,2004-847,HOCP04-847,2,C,9
HO,2011-532,HO11-532,2,C,10
HOCP,2000-950,HOCP00-950,2,C,11
